Leading Cancer Sites,Year,State,Mortality-Incidence Age-Adjusted Rate Ratio,"Mortality Age-Adjusted Rate (per 100,000)","Incidence Age-Adjusted Rate (per 100,000)"
Gallbladder,2008,Florida,0.556,0.573,1.032
Gallbladder,2008,Georgia,0.675,0.533,0.79
Gallbladder,2008,Illinois,0.478,0.713,1.491
Gallbladder,2008,Indiana,0.689,0.693,1.006
Gallbladder,2008,Iowa,0.623,0.51,0.817
Gallbladder,2008,Kansas,0.514,0.682,1.329
Gallbladder,2008,Kentucky,0.529,0.629,1.191
Gallbladder,2008,Louisiana,0.659,0.744,1.129
Gallbladder,2008,Maryland,0.612,0.643,1.05
Gallbladder,2008,Massachusetts,0.511,0.625,1.222
Gallbladder,2008,Michigan,0.558,0.557,0.999
Gallbladder,2008,Minnesota,0.707,0.918,1.298
Gallbladder,2008,Missouri,0.808,0.678,0.838
Gallbladder,2008,New Jersey,0.556,0.781,1.405
Gallbladder,2008,New York,0.542,0.861,1.587
Gallbladder,2008,North Carolina,0.689,0.676,0.981
Gallbladder,2008,Ohio,0.677,0.7,1.034
Gallbladder,2008,Oklahoma,0.421,0.462,1.098
Gallbladder,2008,Oregon,0.48,0.457,0.953
Gallbladder,2008,Pennsylvania,0.409,0.512,1.251
Gallbladder,2008,South Carolina,0.669,0.629,0.94
Gallbladder,2008,Tennessee,0.545,0.369,0.678
Gallbladder,2008,Texas,0.492,0.633,1.287
Gallbladder,2008,Virginia,0.437,0.486,1.111
Gallbladder,2008,Washington,0.552,0.575,1.041
Gallbladder,2008,Wisconsin,0.739,0.73,0.989
Gallbladder,2009,Alabama,0.494,0.457,0.925
Gallbladder,2009,Arizona,0.394,0.402,1.021
Gallbladder,2009,Arkansas,0.747,0.805,1.078
Gallbladder,2009,California,0.609,0.66,1.085
Gallbladder,2009,Colorado,0.628,0.543,0.864
Gallbladder,2009,Connecticut,0.705,0.684,0.97
Gallbladder,2009,Florida,0.538,0.516,0.958
Gallbladder,2009,Georgia,0.538,0.641,1.192
Gallbladder,2009,Illinois,0.664,0.918,1.382
Gallbladder,2009,Indiana,0.6,0.641,1.068
Gallbladder,2009,Kansas,0.647,0.653,1.008
Gallbladder,2009,Kentucky,0.722,0.646,0.895
Gallbladder,2009,Louisiana,0.547,0.656,1.199
Gallbladder,2009,Maryland,0.386,0.462,1.196
Gallbladder,2009,Massachusetts,0.507,0.621,1.224
Gallbladder,2009,Michigan,0.487,0.601,1.235
Gallbladder,2009,Minnesota,0.74,0.748,1.011
Gallbladder,2009,Mississippi,0.91,0.736,0.809
Gallbladder,2009,Missouri,0.605,0.661,1.091
Gallbladder,2009,New Jersey,0.469,0.668,1.424
Gallbladder,2009,New York,0.593,0.892,1.505
Gallbladder,2009,North Carolina,0.536,0.643,1.199
Gallbladder,2009,Ohio,0.559,0.629,1.125
Gallbladder,2009,Oklahoma,0.576,0.604,1.049
Gallbladder,2009,Oregon,0.501,0.428,0.854
Gallbladder,2009,Pennsylvania,0.438,0.548,1.252
Gallbladder,2009,South Carolina,0.392,0.444,1.132
Gallbladder,2009,Tennessee,0.453,0.435,0.96
Gallbladder,2009,Texas,0.533,0.708,1.328
Gallbladder,2009,Virginia,0.612,0.562,0.918
Gallbladder,2009,Washington,0.453,0.587,1.295
Gallbladder,2009,Wisconsin,0.474,0.587,1.238
Gallbladder,2010,Alabama,0.496,0.374,0.755
Gallbladder,2010,Arizona,0.415,0.526,1.267
Gallbladder,2010,Arkansas,0.595,0.753,1.267
Gallbladder,2010,California,0.52,0.584,1.123
Gallbladder,2010,Colorado,0.654,0.595,0.909
Gallbladder,2010,Connecticut,0.735,0.794,1.08
Gallbladder,2010,Florida,0.545,0.566,1.038
Gallbladder,2010,Georgia,0.436,0.401,0.919
Gallbladder,2010,Illinois,0.548,0.717,1.308
Gallbladder,2010,Indiana,0.391,0.465,1.189
Gallbladder,2010,Iowa,0.513,0.65,1.267
Gallbladder,2010,Kansas,0.92,0.938,1.02
Gallbladder,2010,Kentucky,0.489,0.483,0.987
Gallbladder,2010,Louisiana,0.616,0.695,1.129
Gallbladder,2010,Maine,0.799,0.924,1.156
Gallbladder,2010,Maryland,0.486,0.56,1.152
Gallbladder,2010,Massachusetts,0.45,0.632,1.405
Gallbladder,2010,Michigan,0.613,0.72,1.175
Gallbladder,2010,Minnesota,0.606,0.817,1.348
Gallbladder,2010,Mississippi,0.742,0.873,1.178
Gallbladder,2010,Missouri,0.452,0.499,1.105
Gallbladder,2010,New Jersey,0.59,0.868,1.472
Gallbladder,2010,New York,0.626,0.845,1.351
Gallbladder,2010,North Carolina,0.468,0.48,1.026
Gallbladder,2010,Ohio,0.632,0.688,1.088
Gallbladder,2010,Oklahoma,0.645,0.756,1.172
Gallbladder,2010,Oregon,0.874,0.735,0.842
Gallbladder,2010,Pennsylvania,0.581,0.65,1.119
Gallbladder,2010,South Carolina,0.382,0.475,1.243
Gallbladder,2010,Tennessee,0.675,0.524,0.776
Gallbladder,2010,Texas,0.552,0.691,1.253
Gallbladder,2010,Virginia,0.517,0.497,0.962
Gallbladder,2010,Washington,0.513,0.562,1.096
Gallbladder,2010,West Virginia,0.627,0.69,1.101
Gallbladder,2010,Wisconsin,0.376,0.44,1.171
Gallbladder,2011,Alabama,0.614,0.489,0.795
Gallbladder,2011,Arizona,0.38,0.399,1.05
Gallbladder,2011,Arkansas,1.068 (Unreliable),0.55,0.515
Gallbladder,2011,California,0.529,0.66,1.248
Gallbladder,2011,Colorado,0.584,0.643,1.1
Gallbladder,2011,Connecticut,0.484,0.546,1.128
Gallbladder,2011,Florida,0.503,0.512,1.018
Gallbladder,2011,Georgia,0.581,0.603,1.038
Gallbladder,2011,Illinois,0.552,0.811,1.469
Gallbladder,2011,Indiana,0.436,0.556,1.275
Gallbladder,2011,Iowa,0.533,0.616,1.155
Gallbladder,2011,Kansas,0.621,0.56,0.902
Gallbladder,2011,Kentucky,0.441,0.392,0.889
Gallbladder,2011,Louisiana,0.62,0.564,0.91
Gallbladder,2011,Maryland,0.454,0.604,1.331
Gallbladder,2011,Massachusetts,0.58,0.633,1.091
Gallbladder,2011,Michigan,0.641,0.591,0.921
Gallbladder,2011,Minnesota,0.573,0.638,1.112
Gallbladder,2011,Mississippi,1.004 (Unreliable),0.702,0.699
Gallbladder,2011,Missouri,0.609,0.745,1.223
Gallbladder,2011,New Jersey,0.446,0.618,1.386
Gallbladder,2011,New Mexico,0.5,0.692,1.386
Gallbladder,2011,New York,0.575,0.807,1.404
Gallbladder,2011,North Carolina,0.687,0.587,0.855
Gallbladder,2011,Ohio,0.65,0.727,1.119
Gallbladder,2011,Oklahoma,0.665,0.615,0.925
Gallbladder,2011,Oregon,0.528,0.56,1.062
Gallbladder,2011,Pennsylvania,0.467,0.602,1.29
Gallbladder,2011,South Carolina,0.529,0.659,1.246
Gallbladder,2011,Tennessee,0.39,0.273,0.699
Gallbladder,2011,Texas,0.604,0.65,1.076
Gallbladder,2011,Virginia,0.596,0.727,1.22
Gallbladder,2011,Washington,0.396,0.489,1.236
Gallbladder,2011,Wisconsin,0.467,0.539,1.156
Gallbladder,2012,Alabama,0.558,0.537,0.963
Gallbladder,2012,Arizona,0.483,0.47,0.973
Gallbladder,2012,Arkansas,0.591,0.515,0.872
Gallbladder,2012,California,0.569,0.652,1.146
Gallbladder,2012,Colorado,0.692,0.54,0.78
Gallbladder,2012,Connecticut,0.465,0.58,1.248
Gallbladder,2012,Florida,0.425,0.431,1.015
Gallbladder,2012,Georgia,0.438,0.528,1.206
Gallbladder,2012,Illinois,0.609,0.789,1.296
Gallbladder,2012,Indiana,0.545,0.65,1.192
Gallbladder,2012,Iowa,0.473,0.501,1.059
Gallbladder,2012,Kansas,0.907,0.825,0.91
Gallbladder,2012,Kentucky,0.475,0.624,1.312
Gallbladder,2012,Louisiana,0.591,0.757,1.281
Gallbladder,2012,Maryland,0.605,0.642,1.06
Gallbladder,2012,Massachusetts,0.512,0.582,1.137
Gallbladder,2012,Michigan,0.626,0.752,1.201
Gallbladder,2012,Minnesota,0.508,0.631,1.243
Gallbladder,2012,Mississippi,0.799,0.776,0.972
Gallbladder,2012,Missouri,0.504,0.534,1.06
Gallbladder,2012,Nebraska,0.875,0.88,1.005
Gallbladder,2012,Nevada,0.869,0.614,0.707
Gallbladder,2012,New Jersey,0.501,0.679,1.354
Gallbladder,2012,New York,0.58,0.809,1.395
Gallbladder,2012,North Carolina,0.557,0.504,0.905
Gallbladder,2012,Ohio,0.711,0.726,1.02
Gallbladder,2012,Oklahoma,0.386,0.547,1.415
Gallbladder,2012,Oregon,0.523,0.565,1.082
Gallbladder,2012,Pennsylvania,0.544,0.628,1.155
Gallbladder,2012,South Carolina,0.601,0.747,1.243
Gallbladder,2012,Tennessee,0.423,0.316,0.749
Gallbladder,2012,Texas,0.44,0.53,1.207
Gallbladder,2012,Virginia,0.414,0.439,1.06
Gallbladder,2012,Washington,0.49,0.536,1.094
Gallbladder,2012,Wisconsin,0.62,0.574,0.927
Gallbladder,2013,Alabama,0.661,0.36,0.545
Gallbladder,2013,Arizona,0.677,0.572,0.845
Gallbladder,2013,Arkansas,0.648,0.546,0.842
Gallbladder,2013,California,0.556,0.659,1.186
Gallbladder,2013,Colorado,0.456,0.496,1.088
Gallbladder,2013,Connecticut,0.697,0.712,1.022
Gallbladder,2013,Delaware,1.056 (Unreliable),1.383,1.31
Gallbladder,2013,Florida,0.441,0.463,1.051
Gallbladder,2013,Georgia,0.499,0.578,1.158
Gallbladder,2013,Illinois,0.486,0.675,1.388
Gallbladder,2013,Indiana,0.581,0.76,1.307
Gallbladder,2013,Iowa,0.708,0.693,0.979
Gallbladder,2013,Kansas,0.546,0.512,0.938
Gallbladder,2013,Kentucky,0.603,0.75,1.243
Gallbladder,2013,Louisiana,0.478,0.54,1.128
Gallbladder,2013,Maryland,0.788,0.829,1.051
Gallbladder,2013,Massachusetts,0.426,0.506,1.189
Gallbladder,2013,Michigan,0.516,0.536,1.038
Gallbladder,2013,Minnesota,0.677,0.7,1.034
Gallbladder,2013,Missouri,0.626,0.709,1.134
Gallbladder,2013,Nebraska,0.688,0.766,1.114
Gallbladder,2013,New Jersey,0.485,0.758,1.563
Gallbladder,2013,New Mexico,0.444,0.721,1.625
Gallbladder,2013,New York,0.495,0.728,1.47
Gallbladder,2013,North Carolina,0.561,0.577,1.028
Gallbladder,2013,Ohio,0.512,0.49,0.956
Gallbladder,2013,Oklahoma,0.641,0.676,1.055
Gallbladder,2013,Oregon,0.505,0.563,1.116
Gallbladder,2013,Pennsylvania,0.497,0.557,1.122
Gallbladder,2013,South Carolina,0.58,0.542,0.934
Gallbladder,2013,Tennessee,0.544,0.414,0.761
Gallbladder,2013,Texas,0.562,0.696,1.238
Gallbladder,2013,Virginia,0.513,0.608,1.186
Gallbladder,2013,Washington,0.577,0.59,1.022
Gallbladder,2013,West Virginia,0.607,0.646,1.063
Gallbladder,2013,Wisconsin,0.616,0.609,0.989
Gallbladder,2014,Alabama,0.587,0.598,1.019
Gallbladder,2014,Arizona,0.53,0.561,1.059
Gallbladder,2014,Arkansas,0.501,0.42,0.838
Gallbladder,2014,California,0.56,0.711,1.268
Gallbladder,2014,Colorado,0.527,0.553,1.049
Gallbladder,2014,Connecticut,0.482,0.406,0.843
Gallbladder,2014,Florida,0.474,0.439,0.926
Gallbladder,2014,Georgia,0.548,0.579,1.056
Gallbladder,2014,Illinois,0.467,0.662,1.417
Gallbladder,2014,Indiana,0.795,0.727,0.915
Gallbladder,2014,Iowa,0.729,0.745,1.022
Gallbladder,2014,Kansas,0.46,0.473,1.028
Gallbladder,2014,Kentucky,0.335,0.407,1.216
Gallbladder,2014,Louisiana,0.77,1.057,1.372
Gallbladder,2014,Maryland,0.424,0.489,1.154
Gallbladder,2014,Massachusetts,0.436,0.625,1.433
Gallbladder,2014,Michigan,0.608,0.566,0.931
Gallbladder,2014,Minnesota,0.67,0.785,1.17
Gallbladder,2014,Mississippi,0.627,0.617,0.984
Gallbladder,2014,Missouri,0.803,0.735,0.914
Gallbladder,2014,New Jersey,0.481,0.684,1.421
Gallbladder,2014,New Mexico,0.71,0.943,1.328
Gallbladder,2014,New York,0.539,0.841,1.561
Gallbladder,2014,North Carolina,0.611,0.672,1.101
Gallbladder,2014,Ohio,0.545,0.591,1.084
Gallbladder,2014,Oklahoma,0.447,0.504,1.128
Gallbladder,2014,Oregon,0.472,0.556,1.178
Gallbladder,2014,Pennsylvania,0.474,0.555,1.172
Gallbladder,2014,South Carolina,0.567,0.493,0.869
Gallbladder,2014,Tennessee,0.502,0.439,0.875
Gallbladder,2014,Texas,0.565,0.648,1.147
Gallbladder,2014,Virginia,0.667,0.799,1.198
Gallbladder,2014,Washington,0.459,0.473,1.029
Gallbladder,2014,Wisconsin,0.493,0.55,1.116
Gallbladder,2015,Alabama,0.635,0.573,0.902
Gallbladder,2015,Arizona,0.57,0.519,0.912
Gallbladder,2015,Arkansas,0.44,0.449,1.02
Gallbladder,2015,California,0.467,0.574,1.229
Gallbladder,2015,Colorado,0.51,0.449,0.88
Gallbladder,2015,Connecticut,0.533,0.42,0.788
Gallbladder,2015,Florida,0.503,0.447,0.89
Gallbladder,2015,Georgia,0.569,0.602,1.058
Gallbladder,2015,Illinois,0.563,0.82,1.456
Gallbladder,2015,Indiana,0.624,0.635,1.017
Gallbladder,2015,Iowa,0.389,0.483,1.242
Gallbladder,2015,Kentucky,0.426,0.514,1.207
Gallbladder,2015,Louisiana,0.695,0.8,1.15
Gallbladder,2015,Maryland,0.504,0.576,1.142
Gallbladder,2015,Massachusetts,0.53,0.602,1.135
Gallbladder,2015,Michigan,0.397,0.408,1.028
Gallbladder,2015,Minnesota,0.532,0.575,1.082
Gallbladder,2015,Mississippi,0.652,0.461,0.707
Gallbladder,2015,Missouri,0.437,0.495,1.131
Gallbladder,2015,New Jersey,0.506,0.576,1.138
Gallbladder,2015,New York,0.564,0.808,1.432
Gallbladder,2015,North Carolina,0.558,0.648,1.162
Gallbladder,2015,Ohio,0.544,0.634,1.166
Gallbladder,2015,Oklahoma,0.682,0.694,1.018
Gallbladder,2015,Oregon,0.601,0.646,1.075
Gallbladder,2015,Pennsylvania,0.564,0.544,0.965
Gallbladder,2015,South Carolina,0.647,0.479,0.741
Gallbladder,2015,Tennessee,0.401,0.293,0.731
Gallbladder,2015,Texas,0.437,0.486,1.112
Gallbladder,2015,Utah,0.791,0.664,0.839
Gallbladder,2015,Virginia,0.539,0.606,1.124
Gallbladder,2015,Washington,0.617,0.715,1.159
Gallbladder,2015,Wisconsin,0.538,0.585,1.086
Gallbladder,2016,Alabama,0.522,0.504,0.965
Gallbladder,2016,Arizona,0.498,0.458,0.921
Gallbladder,2016,Arkansas,0.455,0.516,1.134
Gallbladder,2016,California,0.569,0.651,1.144
Gallbladder,2016,Colorado,0.527,0.489,0.93
Gallbladder,2016,Connecticut,0.362,0.45,1.244
Gallbladder,2016,Florida,0.436,0.423,0.97
Gallbladder,2016,Georgia,0.583,0.649,1.113
Gallbladder,2016,Illinois,0.433,0.59,1.364
Gallbladder,2016,Indiana,0.514,0.497,0.967
Gallbladder,2016,Iowa,0.964,0.771,0.8
Gallbladder,2016,Kansas,0.435,0.473,1.087
Gallbladder,2016,Kentucky,0.387,0.471,1.218
Gallbladder,2016,Louisiana,0.496,0.675,1.36
Gallbladder,2016,Maryland,0.661,0.604,0.914
Gallbladder,2016,Massachusetts,0.869,0.777,0.895
Gallbladder,2016,Michigan,0.745,0.63,0.846
Gallbladder,2016,Minnesota,0.64,0.572,0.894
Gallbladder,2016,Missouri,0.637,0.486,0.764
Gallbladder,2016,Nebraska,0.748,0.955,1.277
Gallbladder,2016,New Jersey,0.516,0.619,1.2
Gallbladder,2016,New Mexico,0.985,1.274,1.293
Gallbladder,2016,New York,0.467,0.684,1.464
Gallbladder,2016,North Carolina,0.629,0.622,0.989
Gallbladder,2016,Ohio,0.525,0.595,1.133
Gallbladder,2016,Oklahoma,0.649,0.537,0.828
Gallbladder,2016,Oregon,0.67,0.718,1.072
Gallbladder,2016,Pennsylvania,0.443,0.485,1.095
Gallbladder,2016,South Carolina,0.247,0.256,1.036
Gallbladder,2016,Tennessee,0.427,0.411,0.961
Gallbladder,2016,Texas,0.532,0.534,1.004
Gallbladder,2016,Virginia,0.589,0.545,0.925
Gallbladder,2016,Washington,0.578,0.582,1.007
Gallbladder,2016,Wisconsin,0.63,0.668,1.06
Kidney and Renal Pelvis,1999,Alabama,0.348,3.448,9.915
Kidney and Renal Pelvis,1999,Alaska,0.393,6.057,15.41
Kidney and Renal Pelvis,1999,Arizona,0.35,3.911,11.188
Kidney and Renal Pelvis,1999,California,0.353,3.719,10.527
Kidney and Renal Pelvis,1999,Colorado,0.392,4.301,10.975
Kidney and Renal Pelvis,1999,Connecticut,0.345,4.137,11.991
Kidney and Renal Pelvis,1999,Delaware,0.374,4.707,12.599
Kidney and Renal Pelvis,1999,Florida,0.294,3.538,12.029
Kidney and Renal Pelvis,1999,Georgia,0.316,3.514,11.127
Kidney and Renal Pelvis,1999,Hawaii,0.277,2.647,9.547
Kidney and Renal Pelvis,1999,Idaho,0.375,4.263,11.38
Kidney and Renal Pelvis,1999,Illinois,0.321,4.12,12.848
Kidney and Renal Pelvis,1999,Indiana,0.346,4.604,13.324
Kidney and Renal Pelvis,1999,Iowa,0.352,4.585,13.022
Kidney and Renal Pelvis,1999,Kansas,0.329,3.873,11.78
Kidney and Renal Pelvis,1999,Kentucky,0.329,4.3,13.068
Kidney and Renal Pelvis,1999,Louisiana,0.325,4.781,14.722
Kidney and Renal Pelvis,1999,Maine,0.388,4.981,12.828
Kidney and Renal Pelvis,1999,Maryland,0.283,3.455,12.192
Kidney and Renal Pelvis,1999,Massachusetts,0.3,4.035,13.435
Kidney and Renal Pelvis,1999,Michigan,0.349,4.484,12.834
Kidney and Renal Pelvis,1999,Minnesota,0.346,4.194,12.115
Kidney and Renal Pelvis,1999,Missouri,0.351,4.51,12.835
Kidney and Renal Pelvis,1999,Montana,0.297,3.896,13.112
Kidney and Renal Pelvis,1999,Nebraska,0.314,3.928,12.499
Kidney and Renal Pelvis,1999,Nevada,0.363,3.898,10.727
Kidney and Renal Pelvis,1999,New Hampshire,0.357,3.597,10.082
Kidney and Renal Pelvis,1999,New Jersey,0.279,3.781,13.571
Kidney and Renal Pelvis,1999,New Mexico,0.379,4.349,11.465
Kidney and Renal Pelvis,1999,New York,0.26,3.422,13.171
Kidney and Renal Pelvis,1999,North Carolina,0.391,4.488,11.483
Kidney and Renal Pelvis,1999,North Dakota,0.516,5.59,10.832
Kidney and Renal Pelvis,1999,Ohio,0.378,4.612,12.196
Kidney and Renal Pelvis,1999,Oklahoma,0.42,5.065,12.069
Kidney and Renal Pelvis,1999,Oregon,0.33,3.821,11.574
Kidney and Renal Pelvis,1999,Pennsylvania,0.313,3.996,12.767
Kidney and Renal Pelvis,1999,Rhode Island,0.338,5.309,15.722
Kidney and Renal Pelvis,1999,South Carolina,0.321,4.135,12.902
Kidney and Renal Pelvis,1999,Tennessee,0.398,4.25,10.667
Kidney and Renal Pelvis,1999,Texas,0.329,4.449,13.538
Kidney and Renal Pelvis,1999,Utah,0.282,2.418,8.562
Kidney and Renal Pelvis,1999,Vermont,0.396,4.076,10.302
Kidney and Renal Pelvis,1999,Virginia,0.439,4.375,9.968
Kidney and Renal Pelvis,1999,Washington,0.373,4.352,11.678
Kidney and Renal Pelvis,1999,West Virginia,0.339,4.286,12.64
Kidney and Renal Pelvis,1999,Wisconsin,0.319,4.503,14.118
Kidney and Renal Pelvis,1999,Wyoming,0.43,4.299,10.002
Kidney and Renal Pelvis,2000,Alabama,0.318,3.512,11.038
Kidney and Renal Pelvis,2000,Alaska,0.391,4.794,12.275
Kidney and Renal Pelvis,2000,Arizona,0.293,3.583,12.226
Kidney and Renal Pelvis,2000,California,0.353,3.723,10.532
Kidney and Renal Pelvis,2000,Colorado,0.281,3.073,10.933
Kidney and Renal Pelvis,2000,Connecticut,0.257,3.505,13.657
Kidney and Renal Pelvis,2000,Delaware,0.234,3.882,16.618
Kidney and Renal Pelvis,2000,District of Columbia,0.299,3.99,13.348
Kidney and Renal Pelvis,2000,Florida,0.298,3.735,12.545
Kidney and Renal Pelvis,2000,Georgia,0.324,3.911,12.065
Kidney and Renal Pelvis,2000,Hawaii,0.351,3.495,9.96
Kidney and Renal Pelvis,2000,Idaho,0.321,3.851,11.995
Kidney and Renal Pelvis,2000,Illinois,0.352,4.797,13.615
Kidney and Renal Pelvis,2000,Indiana,0.366,5.496,15.033
Kidney and Renal Pelvis,2000,Iowa,0.351,5.077,14.462
Kidney and Renal Pelvis,2000,Kansas,0.342,4.451,13.018
Kidney and Renal Pelvis,2000,Kentucky,0.323,4.646,14.399
Kidney and Renal Pelvis,2000,Louisiana,0.329,4.88,14.84
Kidney and Renal Pelvis,2000,Maine,0.368,4.916,13.37
Kidney and Renal Pelvis,2000,Maryland,0.362,4.03,11.145
Kidney and Renal Pelvis,2000,Massachusetts,0.333,4.128,12.389
Kidney and Renal Pelvis,2000,Michigan,0.33,4.474,13.577
Kidney and Renal Pelvis,2000,Minnesota,0.374,4.972,13.287
Kidney and Renal Pelvis,2000,Missouri,0.337,4.541,13.488
Kidney and Renal Pelvis,2000,Montana,0.424,4.954,11.687
Kidney and Renal Pelvis,2000,Nebraska,0.341,4.457,13.088
Kidney and Renal Pelvis,2000,Nevada,0.306,4.142,13.527
Kidney and Renal Pelvis,2000,New Hampshire,0.358,4.702,13.137
Kidney and Renal Pelvis,2000,New Jersey,0.307,3.982,12.976
Kidney and Renal Pelvis,2000,New Mexico,0.338,4.043,11.975
Kidney and Renal Pelvis,2000,New York,0.273,3.531,12.91
Kidney and Renal Pelvis,2000,North Carolina,0.332,4.293,12.92
Kidney and Renal Pelvis,2000,North Dakota,0.371,4.495,12.11
Kidney and Renal Pelvis,2000,Ohio,0.363,4.476,12.341
Kidney and Renal Pelvis,2000,Oklahoma,0.406,5.014,12.346
Kidney and Renal Pelvis,2000,Oregon,0.406,4.357,10.72
Kidney and Renal Pelvis,2000,Pennsylvania,0.305,4.162,13.662
Kidney and Renal Pelvis,2000,Rhode Island,0.325,4.76,14.63
Kidney and Renal Pelvis,2000,South Carolina,0.36,4.611,12.795
Kidney and Renal Pelvis,2000,Tennessee,0.382,4.404,11.538
Kidney and Renal Pelvis,2000,Texas,0.331,5.085,15.371
Kidney and Renal Pelvis,2000,Utah,0.32,3.362,10.521
Kidney and Renal Pelvis,2000,Vermont,0.464,5.449,11.744
Kidney and Renal Pelvis,2000,Virginia,0.369,4.034,10.928
Kidney and Renal Pelvis,2000,Washington,0.345,4.36,12.651
Kidney and Renal Pelvis,2000,West Virginia,0.316,4.204,13.295
Kidney and Renal Pelvis,2000,Wisconsin,0.358,4.529,12.64
Kidney and Renal Pelvis,2000,Wyoming,0.376,4.125,10.985
Kidney and Renal Pelvis,2001,Alabama,0.314,3.759,11.986
Kidney and Renal Pelvis,2001,Arizona,0.309,4.213,13.614
Kidney and Renal Pelvis,2001,Arkansas,0.312,4.168,13.36
Kidney and Renal Pelvis,2001,California,0.347,3.828,11.019
Kidney and Renal Pelvis,2001,Colorado,0.315,3.872,12.279
Kidney and Renal Pelvis,2001,Connecticut,0.272,3.854,14.148
Kidney and Renal Pelvis,2001,Delaware,0.327,5.096,15.562
Kidney and Renal Pelvis,2001,District of Columbia,0.359,4.424,12.333
Kidney and Renal Pelvis,2001,Florida,0.258,3.464,13.419
Kidney and Renal Pelvis,2001,Georgia,0.281,3.482,12.407
Kidney and Renal Pelvis,2001,Hawaii,0.281,2.623,9.322
Kidney and Renal Pelvis,2001,Idaho,0.364,4.687,12.882
Kidney and Renal Pelvis,2001,Illinois,0.326,4.667,14.305
Kidney and Renal Pelvis,2001,Indiana,0.36,5.408,15.032
Kidney and Renal Pelvis,2001,Iowa,0.409,5.419,13.248
Kidney and Renal Pelvis,2001,Kansas,0.353,5.098,14.448
Kidney and Renal Pelvis,2001,Kentucky,0.346,5.434,15.703
Kidney and Renal Pelvis,2001,Louisiana,0.344,5.648,16.394
Kidney and Renal Pelvis,2001,Maine,0.285,4.302,15.077
Kidney and Renal Pelvis,2001,Maryland,0.387,4.466,11.53
Kidney and Renal Pelvis,2001,Massachusetts,0.295,4.067,13.776
Kidney and Renal Pelvis,2001,Michigan,0.364,4.75,13.059
Kidney and Renal Pelvis,2001,Minnesota,0.315,4.131,13.097
Kidney and Renal Pelvis,2001,Missouri,0.35,4.865,13.888
Kidney and Renal Pelvis,2001,Montana,0.387,4.285,11.071
Kidney and Renal Pelvis,2001,Nebraska,0.29,3.987,13.751
Kidney and Renal Pelvis,2001,Nevada,0.269,3.757,13.958
Kidney and Renal Pelvis,2001,New Hampshire,0.324,3.475,10.716
Kidney and Renal Pelvis,2001,New Jersey,0.285,4.103,14.402
Kidney and Renal Pelvis,2001,New Mexico,0.333,4.199,12.605
Kidney and Renal Pelvis,2001,New York,0.273,3.672,13.471
Kidney and Renal Pelvis,2001,North Carolina,0.37,4.774,12.918
Kidney and Renal Pelvis,2001,North Dakota,0.461,4.954,10.751
Kidney and Renal Pelvis,2001,Ohio,0.394,5.042,12.789
Kidney and Renal Pelvis,2001,Oklahoma,0.413,5.163,12.511
Kidney and Renal Pelvis,2001,Oregon,0.327,3.716,11.356
Kidney and Renal Pelvis,2001,Pennsylvania,0.293,4.225,14.417
Kidney and Renal Pelvis,2001,Rhode Island,0.308,4.679,15.181
Kidney and Renal Pelvis,2001,South Carolina,0.312,4.131,13.236
Kidney and Renal Pelvis,2001,South Dakota,0.38,4.88,12.837
Kidney and Renal Pelvis,2001,Tennessee,0.362,4.291,11.853
Kidney and Renal Pelvis,2001,Texas,0.324,5.024,15.486
Kidney and Renal Pelvis,2001,Utah,0.194,2.27,11.693
Kidney and Renal Pelvis,2001,Vermont,0.249,3.064,12.298
Kidney and Renal Pelvis,2001,Virginia,0.369,4.021,10.889
Kidney and Renal Pelvis,2001,Washington,0.329,4.366,13.257
Kidney and Renal Pelvis,2001,West Virginia,0.295,4.262,14.431
Kidney and Renal Pelvis,2001,Wisconsin,0.3,4.274,14.255
Kidney and Renal Pelvis,2001,Wyoming,0.372,4.782,12.856
Kidney and Renal Pelvis,2002,Alabama,0.294,3.84,13.064
Kidney and Renal Pelvis,2002,Arizona,0.303,4.383,14.456
Kidney and Renal Pelvis,2002,Arkansas,0.358,4.368,12.197
Kidney and Renal Pelvis,2002,California,0.314,3.618,11.54
Kidney and Renal Pelvis,2002,Colorado,0.312,3.847,12.337
Kidney and Renal Pelvis,2002,Connecticut,0.25,3.607,14.438
Kidney and Renal Pelvis,2002,Delaware,0.213,3.348,15.728
Kidney and Renal Pelvis,2002,Florida,0.263,3.592,13.661
Kidney and Renal Pelvis,2002,Georgia,0.334,4.437,13.279
Kidney and Renal Pelvis,2002,Hawaii,0.289,2.738,9.481
Kidney and Renal Pelvis,2002,Idaho,0.328,4.354,13.285
Kidney and Renal Pelvis,2002,Illinois,0.292,4.423,15.156
Kidney and Renal Pelvis,2002,Indiana,0.343,5.35,15.595
Kidney and Renal Pelvis,2002,Iowa,0.349,5.264,15.081
Kidney and Renal Pelvis,2002,Kansas,0.438,4.747,10.827
Kidney and Renal Pelvis,2002,Kentucky,0.299,4.452,14.907
Kidney and Renal Pelvis,2002,Louisiana,0.295,4.844,16.421
Kidney and Renal Pelvis,2002,Maine,0.415,5.937,14.311
Kidney and Renal Pelvis,2002,Maryland,0.311,3.932,12.661
Kidney and Renal Pelvis,2002,Massachusetts,0.25,3.578,14.293
Kidney and Renal Pelvis,2002,Michigan,0.295,4.229,14.318
Kidney and Renal Pelvis,2002,Minnesota,0.32,4.451,13.915
