Leading Cancer Sites,Year,Region,Race,Mortality-Incidence Age-Adjusted Rate Ratio,"Mortality Age-Adjusted Rate (per 100,000)","Incidence Age-Adjusted Rate (per 100,000)"
Corpus Uteri,2002,South,White,0.08,1.59,19.798
Corpus Uteri,2002,West,Asian or Pacific Islander,0.089,1.536,17.351
Corpus Uteri,2002,West,Black or African American,0.13,2.607,20.022
Corpus Uteri,2002,West,White,0.079,1.702,21.451
Corpus Uteri,2003,Northeast,Black or African American,0.168,3.54,21.024
Corpus Uteri,2003,Northeast,White,0.073,2.124,29.23
Corpus Uteri,2003,Midwest,Black or African American,0.166,3.013,18.2
Corpus Uteri,2003,Midwest,White,0.088,2.203,25.072
Corpus Uteri,2003,South,Black or African American,0.185,3.325,17.981
Corpus Uteri,2003,South,White,0.082,1.58,19.307
Corpus Uteri,2003,West,Asian or Pacific Islander,0.061,0.983,16.018
Corpus Uteri,2003,West,Black or African American,0.161,3.051,18.909
Corpus Uteri,2003,West,White,0.081,1.698,20.989
Corpus Uteri,2004,Northeast,Black or African American,0.123,2.771,22.489
Corpus Uteri,2004,Northeast,White,0.075,2.205,29.34
Corpus Uteri,2004,Midwest,Black or African American,0.161,3.204,19.871
Corpus Uteri,2004,Midwest,White,0.078,2.068,26.467
Corpus Uteri,2004,South,Black or African American,0.154,2.902,18.83
Corpus Uteri,2004,South,White,0.086,1.647,19.184
Corpus Uteri,2004,West,Asian or Pacific Islander,0.08,1.421,17.765
Corpus Uteri,2004,West,Black or African American,0.149,2.681,18.012
Corpus Uteri,2004,West,White,0.077,1.683,21.749
Corpus Uteri,2005,Northeast,Black or African American,0.125,2.903,23.24
Corpus Uteri,2005,Northeast,White,0.075,2.229,29.81
Corpus Uteri,2005,Midwest,Black or African American,0.15,3.059,20.389
Corpus Uteri,2005,Midwest,White,0.08,2.133,26.654
Corpus Uteri,2005,South,Black or African American,0.165,3.098,18.778
Corpus Uteri,2005,South,White,0.072,1.42,19.735
Corpus Uteri,2005,West,Asian or Pacific Islander,0.068,1.195,17.459
Corpus Uteri,2005,West,Black or African American,0.146,2.511,17.202
Corpus Uteri,2005,West,White,0.078,1.702,21.841
Corpus Uteri,2006,Northeast,Black or African American,0.15,3.5,23.261
Corpus Uteri,2006,Northeast,White,0.073,2.211,30.333
Corpus Uteri,2006,Midwest,Black or African American,0.151,3.219,21.255
Corpus Uteri,2006,Midwest,White,0.083,2.218,26.665
Corpus Uteri,2006,South,Asian or Pacific Islander,0.175,1.804,10.303
Corpus Uteri,2006,South,Black or African American,0.171,3.33,19.523
Corpus Uteri,2006,South,White,0.079,1.582,20.058
Corpus Uteri,2006,West,Asian or Pacific Islander,0.061,1.019,16.771
Corpus Uteri,2006,West,Black or African American,0.126,2.233,17.704
Corpus Uteri,2006,West,White,0.075,1.65,22.045
Corpus Uteri,2007,Northeast,Black or African American,0.159,3.648,22.931
Corpus Uteri,2007,Northeast,White,0.069,2.104,30.428
Corpus Uteri,2007,Midwest,Black or African American,0.147,3.27,22.228
Corpus Uteri,2007,Midwest,White,0.074,2.007,27.222
Corpus Uteri,2007,South,Black or African American,0.158,3.152,20.002
Corpus Uteri,2007,South,White,0.077,1.555,20.311
Corpus Uteri,2007,West,Asian or Pacific Islander,0.08,1.422,17.774
Corpus Uteri,2007,West,Black or African American,0.157,3.139,20.011
Corpus Uteri,2007,West,White,0.074,1.611,21.835
Corpus Uteri,2008,Northeast,Black or African American,0.104,2.731,26.355
Corpus Uteri,2008,Northeast,White,0.068,2.135,31.538
Corpus Uteri,2008,Midwest,Black or African American,0.133,2.781,20.931
Corpus Uteri,2008,Midwest,White,0.078,2.077,26.532
Corpus Uteri,2008,South,Black or African American,0.13,2.715,20.831
Corpus Uteri,2008,South,White,0.077,1.584,20.668
Corpus Uteri,2008,West,Asian or Pacific Islander,0.066,1.247,18.931
Corpus Uteri,2008,West,Black or African American,0.125,2.529,20.225
Corpus Uteri,2008,West,White,0.076,1.726,22.759
Corpus Uteri,2009,Northeast,Black or African American,0.13,3.481,26.869
Corpus Uteri,2009,Northeast,White,0.064,1.967,30.66
Corpus Uteri,2009,Midwest,Black or African American,0.129,2.912,22.524
Corpus Uteri,2009,Midwest,White,0.073,2.003,27.51
Corpus Uteri,2009,South,Black or African American,0.133,2.884,21.723
Corpus Uteri,2009,South,White,0.066,1.422,21.395
Corpus Uteri,2009,West,Asian or Pacific Islander,0.067,1.311,19.643
Corpus Uteri,2009,West,Black or African American,0.113,2.459,21.837
Corpus Uteri,2009,West,White,0.068,1.608,23.584
Corpus Uteri,2010,Northeast,Asian or Pacific Islander,0.083,1.313,15.894
Corpus Uteri,2010,Northeast,Black or African American,0.111,3.027,27.163
Corpus Uteri,2010,Northeast,White,0.075,2.297,30.694
Corpus Uteri,2010,Midwest,Black or African American,0.158,3.577,22.622
Corpus Uteri,2010,Midwest,White,0.077,2.153,27.958
Corpus Uteri,2010,South,Black or African American,0.126,2.66,21.179
Corpus Uteri,2010,South,White,0.072,1.526,21.327
Corpus Uteri,2010,West,Asian or Pacific Islander,0.075,1.518,20.251
Corpus Uteri,2010,West,Black or African American,0.131,2.686,20.503
Corpus Uteri,2010,West,White,0.069,1.644,23.667
Corpus Uteri,2011,Northeast,Black or African American,0.126,3.352,26.619
Corpus Uteri,2011,Northeast,White,0.075,2.319,31.096
Corpus Uteri,2011,Midwest,Black or African American,0.14,3.515,25.023
Corpus Uteri,2011,Midwest,White,0.073,2.054,28.23
Corpus Uteri,2011,South,Black or African American,0.136,3.023,22.17
Corpus Uteri,2011,South,White,0.07,1.502,21.549
Corpus Uteri,2011,West,Asian or Pacific Islander,0.09,1.811,20.017
Corpus Uteri,2011,West,Black or African American,0.102,2.24,22.038
Corpus Uteri,2011,West,White,0.069,1.64,23.61
Corpus Uteri,2012,Northeast,Asian or Pacific Islander,0.081,1.214,14.955
Corpus Uteri,2012,Northeast,Black or African American,0.134,3.635,27.045
Corpus Uteri,2012,Northeast,White,0.069,2.146,31.033
Corpus Uteri,2012,Midwest,Black or African American,0.134,3.089,23.093
Corpus Uteri,2012,Midwest,White,0.076,2.118,27.893
Corpus Uteri,2012,South,Asian or Pacific Islander,0.096,1.307,13.582
Corpus Uteri,2012,South,Black or African American,0.136,3.054,22.426
Corpus Uteri,2012,South,White,0.069,1.509,21.963
Corpus Uteri,2012,West,Asian or Pacific Islander,0.081,1.628,20.186
Corpus Uteri,2012,West,Black or African American,0.143,3.249,22.675
Corpus Uteri,2012,West,White,0.068,1.656,24.468
Corpus Uteri,2013,Northeast,Asian or Pacific Islander,0.052,0.92,17.68
Corpus Uteri,2013,Northeast,Black or African American,0.116,3.162,27.227
Corpus Uteri,2013,Northeast,White,0.072,2.306,32.007
Corpus Uteri,2013,Midwest,Black or African American,0.115,2.745,23.841
Corpus Uteri,2013,Midwest,White,0.074,2.095,28.292
Corpus Uteri,2013,South,Black or African American,0.151,3.38,22.382
Corpus Uteri,2013,South,White,0.066,1.458,22.174
Corpus Uteri,2013,West,Asian or Pacific Islander,0.054,1.131,21.034
Corpus Uteri,2013,West,Black or African American,0.149,3.271,21.963
Corpus Uteri,2013,West,White,0.076,1.782,23.316
Corpus Uteri,2014,Northeast,Asian or Pacific Islander,0.074,1.182,15.986
Corpus Uteri,2014,Northeast,Black or African American,0.132,3.713,28.193
Corpus Uteri,2014,Northeast,White,0.077,2.392,31.023
Corpus Uteri,2014,Midwest,Black or African American,0.147,3.805,25.907
Corpus Uteri,2014,Midwest,White,0.075,2.142,28.745
Corpus Uteri,2014,South,Black or African American,0.134,3.224,23.979
Corpus Uteri,2014,South,White,0.066,1.522,23.073
Corpus Uteri,2014,West,Asian or Pacific Islander,0.067,1.412,21.206
Corpus Uteri,2014,West,Black or African American,0.137,3.126,22.768
Corpus Uteri,2014,West,White,0.075,1.838,24.475
Corpus Uteri,2015,Northeast,Asian or Pacific Islander,0.046,0.914,19.987
Corpus Uteri,2015,Northeast,Black or African American,0.113,3.283,29.017
Corpus Uteri,2015,Northeast,White,0.07,2.183,31.018
Corpus Uteri,2015,Midwest,Black or African American,0.131,3.513,26.725
Corpus Uteri,2015,Midwest,White,0.079,2.311,29.074
Corpus Uteri,2015,South,Asian or Pacific Islander,0.072,0.993,13.867
Corpus Uteri,2015,South,Black or African American,0.135,3.245,23.953
Corpus Uteri,2015,South,White,0.071,1.659,23.354
Corpus Uteri,2015,West,Asian or Pacific Islander,0.081,1.65,20.361
Corpus Uteri,2015,West,Black or African American,0.155,3.433,22.126
Corpus Uteri,2015,West,White,0.077,1.901,24.77
Corpus Uteri,2016,Northeast,Asian or Pacific Islander,0.092,1.644,17.858
Corpus Uteri,2016,Northeast,Black or African American,0.127,3.691,29.045
Corpus Uteri,2016,Northeast,White,0.086,2.701,31.441
Corpus Uteri,2016,Midwest,Asian or Pacific Islander,0.112,2.035,18.123
Corpus Uteri,2016,Midwest,Black or African American,0.16,4.146,25.958
Corpus Uteri,2016,Midwest,White,0.094,2.758,29.41
Corpus Uteri,2016,South,Asian or Pacific Islander,0.086,1.127,13.136
Corpus Uteri,2016,South,Black or African American,0.155,3.701,23.913
Corpus Uteri,2016,South,White,0.089,2.091,23.545
Corpus Uteri,2016,West,American Indian or Alaska Native,0.112,1.978,17.663
Corpus Uteri,2016,West,Asian or Pacific Islander,0.094,2.038,21.627
Corpus Uteri,2016,West,Black or African American,0.163,3.873,23.746
Corpus Uteri,2016,West,White,0.091,2.329,25.548
Esophagus,1999,Northeast,Asian or Pacific Islander,0.674,1.849,2.745
Esophagus,1999,Northeast,Black or African American,0.852,6.421,7.541
Esophagus,1999,Northeast,White,0.89,4.5,5.054
Esophagus,1999,Midwest,Black or African American,0.824,6.279,7.618
Esophagus,1999,Midwest,White,0.833,4.352,5.223
Esophagus,1999,South,Asian or Pacific Islander,0.894,2.157,2.412
Esophagus,1999,South,Black or African American,0.897,7,7.805
Esophagus,1999,South,White,0.876,3.848,4.392
Esophagus,1999,West,American Indian or Alaska Native,1.075 (Unreliable),3.063,2.848
Esophagus,1999,West,Asian or Pacific Islander,0.94,2.331,2.479
Esophagus,1999,West,Black or African American,0.959,5.334,5.56
Esophagus,1999,West,White,0.933,4.312,4.624
Esophagus,2000,Northeast,Asian or Pacific Islander,0.718,1.66,2.313
Esophagus,2000,Northeast,Black or African American,0.859,6.455,7.514
Esophagus,2000,Northeast,White,0.898,4.602,5.125
Esophagus,2000,Midwest,Black or African American,0.769,6.299,8.189
Esophagus,2000,Midwest,White,0.886,4.641,5.237
Esophagus,2000,South,Black or African American,0.899,6.789,7.549
Esophagus,2000,South,White,0.851,3.844,4.518
Esophagus,2000,West,American Indian or Alaska Native,0.634,2.806,4.426
Esophagus,2000,West,Asian or Pacific Islander,0.715,1.857,2.599
Esophagus,2000,West,Black or African American,0.841,4.888,5.814
Esophagus,2000,West,White,0.936,4.276,4.569
Esophagus,2001,Northeast,Asian or Pacific Islander,0.697,1.921,2.754
Esophagus,2001,Northeast,Black or African American,0.847,6.138,7.244
Esophagus,2001,Northeast,White,0.89,4.549,5.109
Esophagus,2001,Midwest,Black or African American,0.883,6.743,7.64
Esophagus,2001,Midwest,White,0.898,4.622,5.146
Esophagus,2001,South,Asian or Pacific Islander,1.217 (Unreliable),1.853,1.523
Esophagus,2001,South,Black or African American,0.954,6.705,7.03
Esophagus,2001,South,White,0.905,4.024,4.447
Esophagus,2001,West,American Indian or Alaska Native,0.763,3.951,5.179
Esophagus,2001,West,Asian or Pacific Islander,0.84,2.135,2.542
Esophagus,2001,West,Black or African American,0.887,4.917,5.542
Esophagus,2001,West,White,0.882,4.212,4.775
Esophagus,2002,Northeast,Asian or Pacific Islander,0.575,1.691,2.943
Esophagus,2002,Northeast,Black or African American,0.864,5.32,6.156
Esophagus,2002,Northeast,White,0.879,4.703,5.352
Esophagus,2002,Midwest,Black or African American,0.87,6.124,7.041
Esophagus,2002,Midwest,White,0.914,4.701,5.144
Esophagus,2002,South,Asian or Pacific Islander,0.742,1.34,1.806
Esophagus,2002,South,Black or African American,0.902,6.379,7.07
Esophagus,2002,South,White,0.879,3.867,4.402
Esophagus,2002,West,American Indian or Alaska Native,1.013 (Unreliable),3.832,3.782
Esophagus,2002,West,Asian or Pacific Islander,0.802,1.955,2.439
Esophagus,2002,West,Black or African American,0.734,3.884,5.291
Esophagus,2002,West,White,0.983,4.431,4.505
Esophagus,2003,Northeast,Asian or Pacific Islander,0.827,1.973,2.386
Esophagus,2003,Northeast,Black or African American,0.785,5.55,7.073
Esophagus,2003,Northeast,White,0.878,4.884,5.563
Esophagus,2003,Midwest,Black or African American,0.866,5.783,6.676
Esophagus,2003,Midwest,White,0.899,4.665,5.189
Esophagus,2003,South,Asian or Pacific Islander,0.419,1.257,2.999
Esophagus,2003,South,Black or African American,0.878,5.908,6.732
Esophagus,2003,South,White,0.843,3.918,4.649
Esophagus,2003,West,American Indian or Alaska Native,1.334 (Unreliable),2.653,1.989
Esophagus,2003,West,Asian or Pacific Islander,0.859,1.813,2.111
Esophagus,2003,West,Black or African American,0.803,4.428,5.511
Esophagus,2003,West,White,0.935,4.121,4.409
Esophagus,2004,Northeast,Asian or Pacific Islander,0.726,2.127,2.928
Esophagus,2004,Northeast,Black or African American,0.843,5.138,6.096
Esophagus,2004,Northeast,White,0.839,4.735,5.645
Esophagus,2004,Midwest,American Indian or Alaska Native,1.249 (Unreliable),7.589,6.078
Esophagus,2004,Midwest,Black or African American,0.8,5.397,6.744
Esophagus,2004,Midwest,White,0.847,4.665,5.506
Esophagus,2004,South,Asian or Pacific Islander,0.929,2.302,2.477
Esophagus,2004,South,Black or African American,0.874,5.558,6.357
Esophagus,2004,South,White,0.868,4.011,4.622
Esophagus,2004,West,American Indian or Alaska Native,1.029 (Unreliable),2.999,2.913
Esophagus,2004,West,Asian or Pacific Islander,0.695,2.119,3.051
Esophagus,2004,West,Black or African American,0.956,4.523,4.732
Esophagus,2004,West,White,0.872,4.19,4.808
Esophagus,2005,Northeast,Asian or Pacific Islander,0.654,1.882,2.879
Esophagus,2005,Northeast,Black or African American,0.785,4.681,5.961
Esophagus,2005,Northeast,White,0.925,5.124,5.539
Esophagus,2005,Midwest,Black or African American,0.932,5.189,5.564
Esophagus,2005,Midwest,White,0.903,4.851,5.373
Esophagus,2005,South,American Indian or Alaska Native,1.097 (Unreliable),3.064,2.793
Esophagus,2005,South,Asian or Pacific Islander,0.581,1.324,2.279
Esophagus,2005,South,Black or African American,0.842,5.224,6.205
Esophagus,2005,South,White,0.86,4.048,4.707
Esophagus,2005,West,American Indian or Alaska Native,0.733,3.053,4.167
Esophagus,2005,West,Asian or Pacific Islander,0.772,1.868,2.419
Esophagus,2005,West,Black or African American,0.959,4.02,4.192
Esophagus,2005,West,White,0.919,4.2,4.57
Esophagus,2006,Northeast,Asian or Pacific Islander,0.8,2.04,2.552
Esophagus,2006,Northeast,Black or African American,0.986,4.824,4.891
Esophagus,2006,Northeast,White,0.846,4.896,5.788
Esophagus,2006,Midwest,Black or African American,0.781,5.224,6.685
Esophagus,2006,Midwest,White,0.884,4.835,5.468
Esophagus,2006,South,American Indian or Alaska Native,1.279 (Unreliable),3.019,2.36
Esophagus,2006,South,Asian or Pacific Islander,0.792,1.918,2.421
Esophagus,2006,South,Black or African American,0.844,4.892,5.793
Esophagus,2006,South,White,0.868,4.088,4.712
Esophagus,2006,West,American Indian or Alaska Native,0.867,3.45,3.98
Esophagus,2006,West,Asian or Pacific Islander,0.794,2.135,2.687
Esophagus,2006,West,Black or African American,0.79,2.951,3.734
Esophagus,2006,West,White,0.942,4.314,4.578
Esophagus,2007,Northeast,Asian or Pacific Islander,0.641,1.808,2.822
Esophagus,2007,Northeast,Black or African American,0.78,3.771,4.832
Esophagus,2007,Northeast,White,0.859,4.857,5.655
Esophagus,2007,Midwest,Asian or Pacific Islander,1.102 (Unreliable),1.94,1.761
Esophagus,2007,Midwest,Black or African American,0.879,4.927,5.602
Esophagus,2007,Midwest,White,0.87,4.676,5.375
Esophagus,2007,South,Asian or Pacific Islander,0.728,1.804,2.479
Esophagus,2007,South,Black or African American,0.863,5.09,5.897
Esophagus,2007,South,White,0.837,3.992,4.772
Esophagus,2007,West,American Indian or Alaska Native,0.893,2.798,3.135
Esophagus,2007,West,Asian or Pacific Islander,0.915,1.926,2.105
Esophagus,2007,West,Black or African American,0.854,3.534,4.138
Esophagus,2007,West,White,0.945,4.102,4.342
Esophagus,2008,Northeast,Asian or Pacific Islander,0.509,1.698,3.338
Esophagus,2008,Northeast,Black or African American,0.783,4.048,5.17
Esophagus,2008,Northeast,White,0.797,4.63,5.809
Esophagus,2008,Midwest,Black or African American,0.845,4.749,5.621
Esophagus,2008,Midwest,White,0.886,4.798,5.414
Esophagus,2008,South,American Indian or Alaska Native,0.996,3.401,3.415
Esophagus,2008,South,Asian or Pacific Islander,0.678,1.616,2.385
Esophagus,2008,South,Black or African American,0.891,4.706,5.279
Esophagus,2008,South,White,0.832,3.994,4.803
Esophagus,2008,West,American Indian or Alaska Native,0.703,3,4.27
Esophagus,2008,West,Asian or Pacific Islander,0.696,1.773,2.549
Esophagus,2008,West,Black or African American,0.9,3.278,3.643
Esophagus,2008,West,White,0.878,4.035,4.594
Esophagus,2009,Northeast,Asian or Pacific Islander,0.753,1.773,2.354
Esophagus,2009,Northeast,Black or African American,0.785,3.719,4.739
Esophagus,2009,Northeast,White,0.843,4.738,5.622
Esophagus,2009,Midwest,Asian or Pacific Islander,0.702,1.818,2.591
Esophagus,2009,Midwest,Black or African American,0.815,4.431,5.437
Esophagus,2009,Midwest,White,0.849,4.655,5.481
Esophagus,2009,South,American Indian or Alaska Native,0.809,2.4,2.969
Esophagus,2009,South,Asian or Pacific Islander,0.743,1.219,1.64
Esophagus,2009,South,Black or African American,0.853,4.257,4.989
Esophagus,2009,South,White,0.838,3.926,4.687
Esophagus,2009,West,American Indian or Alaska Native,0.618,2.711,4.384
Esophagus,2009,West,Asian or Pacific Islander,0.975,2.004,2.055
Esophagus,2009,West,Black or African American,0.706,2.769,3.923
Esophagus,2009,West,White,0.866,4.171,4.815
Esophagus,2010,Northeast,Asian or Pacific Islander,0.541,1.533,2.834
Esophagus,2010,Northeast,Black or African American,0.814,3.982,4.894
Esophagus,2010,Northeast,White,0.907,4.689,5.169
Esophagus,2010,Midwest,Asian or Pacific Islander,0.666,1.611,2.417
Esophagus,2010,Midwest,Black or African American,0.935,4.536,4.852
Esophagus,2010,Midwest,White,0.974,4.96,5.091
Esophagus,2010,South,American Indian or Alaska Native,0.713,1.992,2.795
Esophagus,2010,South,Asian or Pacific Islander,0.493,1.419,2.877
Esophagus,2010,South,Black or African American,0.896,4.341,4.843
Esophagus,2010,South,White,0.909,4.056,4.46
Esophagus,2010,West,American Indian or Alaska Native,0.82,2.683,3.271
Esophagus,2010,West,Asian or Pacific Islander,0.756,1.83,2.42
Esophagus,2010,West,Black or African American,0.774,3.04,3.929
Esophagus,2010,West,White,0.932,4.098,4.398
Esophagus,2011,Northeast,Asian or Pacific Islander,0.65,1.883,2.895
Esophagus,2011,Northeast,Black or African American,0.704,3.245,4.606
Esophagus,2011,Northeast,White,0.919,4.703,5.115
Esophagus,2011,Midwest,Black or African American,0.953,4.533,4.754
Esophagus,2011,Midwest,White,0.896,4.703,5.251
Esophagus,2011,South,Asian or Pacific Islander,0.727,1.66,2.282
Esophagus,2011,South,Black or African American,0.862,3.922,4.548
Esophagus,2011,South,White,0.898,4.048,4.507
Esophagus,2011,West,American Indian or Alaska Native,0.877,2.301,2.622
Esophagus,2011,West,Asian or Pacific Islander,0.834,1.621,1.943
Esophagus,2011,West,Black or African American,0.798,2.688,3.37
Esophagus,2011,West,White,0.896,4.088,4.564
Esophagus,2012,Northeast,Asian or Pacific Islander,0.749,1.592,2.126
Esophagus,2012,Northeast,Black or African American,0.726,2.962,4.077
Esophagus,2012,Northeast,White,0.871,4.423,5.075
Esophagus,2012,Midwest,American Indian or Alaska Native,0.972,5.277,5.43
Esophagus,2012,Midwest,Black or African American,0.967,4.517,4.672
Esophagus,2012,Midwest,White,0.897,4.716,5.255
Esophagus,2012,South,American Indian or Alaska Native,0.686,1.995,2.908
Esophagus,2012,South,Asian or Pacific Islander,0.596,1.512,2.536
Esophagus,2012,South,Black or African American,0.912,3.913,4.288
Esophagus,2012,South,White,0.881,3.958,4.49
Esophagus,2012,West,American Indian or Alaska Native,0.988,2.187,2.213
Esophagus,2012,West,Asian or Pacific Islander,0.907,1.686,1.86
Esophagus,2012,West,Black or African American,0.843,2.66,3.157
Esophagus,2012,West,White,0.968,4.249,4.388
Esophagus,2013,Northeast,Asian or Pacific Islander,0.59,1.663,2.82
Esophagus,2013,Northeast,Black or African American,0.649,2.747,4.233
Esophagus,2013,Northeast,White,0.866,4.482,5.175
Esophagus,2013,Midwest,American Indian or Alaska Native,0.777,3.923,5.049
Esophagus,2013,Midwest,Asian or Pacific Islander,1.076 (Unreliable),2.156,2.004
Esophagus,2013,Midwest,Black or African American,0.825,3.876,4.701
Esophagus,2013,Midwest,White,0.914,4.711,5.155
Esophagus,2013,South,American Indian or Alaska Native,0.741,2.104,2.84
Esophagus,2013,South,Asian or Pacific Islander,0.816,2.035,2.494
Esophagus,2013,South,Black or African American,0.878,3.646,4.151
Esophagus,2013,South,White,0.886,3.997,4.513
Esophagus,2013,West,American Indian or Alaska Native,0.651,2.54,3.901
Esophagus,2013,West,Asian or Pacific Islander,0.928,1.573,1.694
Esophagus,2013,West,Black or African American,0.968,3.196,3.301
Esophagus,2013,West,White,0.878,3.83,4.364
Esophagus,2014,Northeast,Asian or Pacific Islander,0.641,1.812,2.826
Esophagus,2014,Northeast,Black or African American,0.936,3.43,3.664
Esophagus,2014,Northeast,White,0.882,4.537,5.144
Esophagus,2014,Midwest,American Indian or Alaska Native,0.705,4.703,6.668
Esophagus,2014,Midwest,Asian or Pacific Islander,0.581,1.478,2.544
Esophagus,2014,Midwest,Black or African American,0.858,3.471,4.046
Esophagus,2014,Midwest,White,0.926,4.84,5.226
Esophagus,2014,South,American Indian or Alaska Native,0.522,1.755,3.364
Esophagus,2014,South,Asian or Pacific Islander,0.709,1.532,2.161
Esophagus,2014,South,Black or African American,0.819,3.35,4.089
Esophagus,2014,South,White,0.848,3.802,4.483
Esophagus,2014,West,American Indian or Alaska Native,0.947,3.368,3.556
Esophagus,2014,West,Asian or Pacific Islander,0.873,1.682,1.927
Esophagus,2014,West,Black or African American,0.902,2.613,2.898
Esophagus,2014,West,White,0.899,3.929,4.371
Esophagus,2015,Northeast,Asian or Pacific Islander,0.748,1.72,2.298
Esophagus,2015,Northeast,Black or African American,0.713,2.579,3.616
Esophagus,2015,Northeast,White,0.843,4.41,5.229
Esophagus,2015,Midwest,American Indian or Alaska Native,0.767,4.272,5.567
Esophagus,2015,Midwest,Asian or Pacific Islander,0.48,0.898,1.869
Esophagus,2015,Midwest,Black or African American,0.787,3.318,4.216
Esophagus,2015,Midwest,White,0.928,4.864,5.24
Esophagus,2015,South,American Indian or Alaska Native,0.828,2.261,2.731
Esophagus,2015,South,Asian or Pacific Islander,0.612,1.061,1.735
Esophagus,2015,South,Black or African American,0.805,3.18,3.95
Esophagus,2015,South,White,0.867,3.936,4.54
Esophagus,2015,West,American Indian or Alaska Native,1.001 (Unreliable),3.339,3.334
Esophagus,2015,West,Asian or Pacific Islander,0.795,1.629,2.049
Esophagus,2015,West,Black or African American,0.949,2.359,2.485
Esophagus,2015,West,White,0.927,3.909,4.216
Esophagus,2016,Northeast,Asian or Pacific Islander,0.517,1.328,2.57
Esophagus,2016,Northeast,Black or African American,0.761,3.075,4.039
Esophagus,2016,Northeast,White,0.855,4.405,5.151
Esophagus,2016,Midwest,American Indian or Alaska Native,1.105 (Unreliable),3.975,3.596
Esophagus,2016,Midwest,Asian or Pacific Islander,0.737,1.931,2.621
Esophagus,2016,Midwest,Black or African American,0.819,3.537,4.319
Esophagus,2016,Midwest,White,0.931,4.769,5.121
Esophagus,2016,South,American Indian or Alaska Native,0.55,2.131,3.873
Esophagus,2016,South,Asian or Pacific Islander,0.91,1.587,1.744
Esophagus,2016,South,Black or African American,0.896,3.12,3.483
Esophagus,2016,South,White,0.893,3.94,4.414
Esophagus,2016,West,American Indian or Alaska Native,0.597,2.224,3.725
Esophagus,2016,West,Asian or Pacific Islander,0.765,1.496,1.957
Esophagus,2016,West,Black or African American,0.789,2.141,2.715
Esophagus,2016,West,White,0.958,3.861,4.031
Gallbladder,1999,Northeast,Black or African American,0.648,0.922,1.423
Gallbladder,1999,Northeast,White,0.623,0.885,1.421
Gallbladder,1999,Midwest,Black or African American,0.589,0.745,1.264
Gallbladder,1999,Midwest,White,0.663,0.805,1.214
Gallbladder,1999,South,Black or African American,0.613,0.852,1.389
Gallbladder,1999,South,White,0.6,0.615,1.024
Gallbladder,1999,West,Asian or Pacific Islander,0.579,0.786,1.359
Gallbladder,1999,West,Black or African American,0.938,1.115,1.188
Gallbladder,1999,West,White,0.632,0.688,1.09
Gallbladder,2000,Northeast,Black or African American,0.551,1.089,1.978
Gallbladder,2000,Northeast,White,0.608,0.805,1.323
Gallbladder,2000,Midwest,Black or African American,0.616,0.673,1.094
Gallbladder,2000,Midwest,White,0.68,0.743,1.093
Gallbladder,2000,South,Black or African American,0.515,0.745,1.445
Gallbladder,2000,South,White,0.569,0.563,0.989
Gallbladder,2000,West,Asian or Pacific Islander,0.631,0.835,1.323
Gallbladder,2000,West,White,0.646,0.691,1.07
Gallbladder,2001,Northeast,Black or African American,0.59,1.043,1.768
Gallbladder,2001,Northeast,White,0.601,0.788,1.311
Gallbladder,2001,Midwest,Black or African American,0.574,0.728,1.268
Gallbladder,2001,Midwest,White,0.575,0.717,1.248
Gallbladder,2001,South,Black or African American,0.638,0.883,1.385
Gallbladder,2001,South,White,0.632,0.63,0.996
Gallbladder,2001,West,Asian or Pacific Islander,0.569,0.874,1.537
Gallbladder,2001,West,White,0.557,0.605,1.087
Gallbladder,2002,Northeast,Black or African American,0.767,1.16,1.513
Gallbladder,2002,Northeast,White,0.566,0.692,1.223
Gallbladder,2002,Midwest,Black or African American,0.512,0.779,1.523
Gallbladder,2002,Midwest,White,0.638,0.735,1.153
Gallbladder,2002,South,Black or African American,0.731,0.959,1.313
Gallbladder,2002,South,White,0.634,0.562,0.887
Gallbladder,2002,West,Asian or Pacific Islander,0.573,0.73,1.274
Gallbladder,2002,West,White,0.566,0.594,1.05
Gallbladder,2003,Northeast,Black or African American,0.514,0.889,1.729
Gallbladder,2003,Northeast,White,0.601,0.79,1.314
Gallbladder,2003,Midwest,Black or African American,0.526,0.658,1.252
Gallbladder,2003,Midwest,White,0.668,0.717,1.074
Gallbladder,2003,South,Black or African American,0.482,0.664,1.378
Gallbladder,2003,South,White,0.542,0.526,0.971
Gallbladder,2003,West,Asian or Pacific Islander,0.502,0.769,1.532
Gallbladder,2003,West,White,0.586,0.606,1.035
Gallbladder,2004,Northeast,Asian or Pacific Islander,0.676,1.101,1.629
Gallbladder,2004,Northeast,Black or African American,0.53,1.084,2.044
Gallbladder,2004,Northeast,White,0.541,0.696,1.286
Gallbladder,2004,Midwest,Black or African American,0.476,0.727,1.529
Gallbladder,2004,Midwest,White,0.595,0.68,1.144
Gallbladder,2004,South,Black or African American,0.557,0.831,1.492
Gallbladder,2004,South,White,0.59,0.561,0.952
Gallbladder,2004,West,Asian or Pacific Islander,0.75,0.991,1.321
Gallbladder,2004,West,Black or African American,0.811,0.885,1.091
Gallbladder,2004,West,White,0.597,0.564,0.945
Gallbladder,2005,Northeast,Black or African American,0.628,1.185,1.888
Gallbladder,2005,Northeast,White,0.575,0.722,1.257
Gallbladder,2005,Midwest,Black or African American,0.652,1.091,1.674
Gallbladder,2005,Midwest,White,0.673,0.735,1.092
